brand_key,sub_segment_key,area,sector,year,sector_annual,baseline_used,ratio,band,reduction,factor,cleaned_sector,removed
mclaren,core supercar,SL,SL5,2022,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,gt,AL,AL10 9,2025,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
mclaren,core supercar,SL,SL5,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,gt,MK,MK16 9,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,W,W1J,2023,5,1.2,4.166666666666667,medium,0.5,0.5,2.5,2.5
bentley,gt,LE,LE7,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,ML,ML3,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,HP,HP11 1,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,BS,BS10 7,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,EH,EH15 3,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,GU,GU23 6,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,TN,TN13 2,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,TN,TN13 2,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,W,W3 0,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,HP,HP11 1,2023,5,1.1428571428571428,4.375,medium,0.5,0.5,2.5,2.5
aston martin,suv,PO,PO19 8,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,LE,LE7,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
ferrari,gt,EX,EX2,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,BS,BS10 7,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,gt,W,W3 0,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
ferrari,core supercar,EX,EX2,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,suv,LS,LS12 6,2023,5,1.2222222222222223,4.090909090909091,medium,0.5,0.5,2.5,2.5
bentley,suv,CM,CM2,2022,5,1.2222222222222223,4.090909090909091,medium,0.5,0.5,2.5,2.5
bentley,suv,BT,BT12 6,2024,5,1.1428571428571428,4.375,medium,0.5,0.5,2.5,2.5
bentley,suv,LS,LS12 6,2024,5,1.2222222222222223,4.090909090909091,medium,0.5,0.5,2.5,2.5
bentley,suv,EH,EH15 3,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,CM,CM14 5,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,RG,RG8,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,suv,EH,EH15 3,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,GL,GL51 9,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
ferrari,core supercar,BT,BT12 6,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
ferrari,gt,SW,SW7,2022,5,1.2142857142857142,4.11764705882353,medium,0.5,0.5,2.5,2.5
ferrari,gt,BT,BT12 6,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,gt,RG,RG8,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,gt,NG,NG7,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
lamborghini,suv,EH,EH15 3,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
rolls-royce,suv,SL,SL5,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,gt,NE,NE28 9,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
ferrari,core supercar,SK,SK9,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,gt,NE,NE28 9,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,LS,LS12 6,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,MK,MK16 9,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,MK,MK16 9,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
ferrari,core supercar,SW,SW7,2023,5,1.1666666666666667,4.285714285714286,medium,0.5,0.5,2.5,2.5
aston martin,gt,W,W3 0,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,AL,AL10 9,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
rolls-royce,suv,SK,SK9,2023,7,2.75,2.5454545454545454,mild,0.19999999999999996,0.8,5.6000000000000005,1.3999999999999995
bentley,suv,AL,AL10 9,2024,7,2.0,3.5,mild,0.19999999999999996,0.8,5.6000000000000005,1.3999999999999995
rolls-royce,suv,SL,SL5,2022,6,1.5,4.0,mild,0.19999999999999984,0.8000000000000002,4.800000000000001,1.1999999999999993
bentley,suv,BT,BT12 6,2025,6,1.6666666666666667,3.5999999999999996,mild,0.19999999999999984,0.8000000000000002,4.800000000000001,1.1999999999999993
bentley,suv,ML,ML3,2024,6,2.0,3.0,mild,0.19999999999999984,0.8000000000000002,4.800000000000001,1.1999999999999993
bentley,gt,AL,AL10 9,2022,6,1.6666666666666667,3.5999999999999996,mild,0.19999999999999984,0.8000000000000002,4.800000000000001,1.1999999999999993
bentley,suv,AL,AL10 9,2023,5,1.3333333333333333,3.75,mild,0.19999999999999996,0.8,4.0,1.0
mclaren,core supercar,SK,SK9,2024,5,1.6666666666666667,3.0,mild,0.19999999999999996,0.8,4.0,1.0
lamborghini,suv,LE,LE7,2025,5,1.3,3.846153846153846,mild,0.19999999999999996,0.8,4.0,1.0
lamborghini,suv,LS,LS9,2025,5,2.2857142857142856,2.1875,mild,0.19999999999999996,0.8,4.0,1.0
bentley,suv,GU,GU23 6,2023,5,1.3333333333333333,3.75,mild,0.19999999999999996,0.8,4.0,1.0
bentley,suv,CM,CM2,2023,5,1.3333333333333333,3.75,mild,0.19999999999999996,0.8,4.0,1.0
aston martin,suv,LS,LS12 6,2023,5,1.25,4.0,mild,0.19999999999999996,0.8,4.0,1.0
aston martin,suv,KT,KT12 1,2023,5,1.5,3.3333333333333335,mild,0.19999999999999996,0.8,4.0,1.0
bentley,suv,ML,ML3,2022,5,1.3333333333333333,3.75,mild,0.19999999999999996,0.8,4.0,1.0
bentley,suv,LE,LE7,2025,5,2.0,2.5,mild,0.19999999999999996,0.8,4.0,1.0
aston martin,upper gt,SK,SK9,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,gt,B,B24 9,2025,4,1.125,3.5555555555555554,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,gt,ML,ML3,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,suv,HP,HP11 1,2024,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,suv,GU,GU23 6,2025,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,gt,GU,GU23 6,2025,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,suv,PO,PO19 8,2024,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,suv,W,W3 0,2025,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,gt,GU,GU23 6,2022,4,1.25,3.2,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,gt,AL,AL10 9,2024,4,1.5,2.6666666666666665,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,gt,SO,SO43 7,2025,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,gt,CM,CM2,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,upper gt,W,W3 0,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,upper gt,RG,RG8,2025,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,suv,SW,SW7,2024,4,1.5,2.6666666666666665,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
